id,name,sex,age,team,noc,year,season,city,sport,event,medal
590,Anna Schmidt,M,19,BRA,UKR,2004,Summer,Athens,Boxing,Lightweight Boxing,Bronze
591,Tom Lee,F,27,CAN,UKR,2012,Summer,Rio,Judo,Lightweight Boxing,Bronze
592,Maria Ivanova,M,33,BRA,UKR,2016,Winter,Athens,Boxing,Double Sculls,Gold
593,Maria Ivanova,F,23,FRA,USA,2020,Summer,Rio,Cycling,Judo -60kg,Bronze
594,Kate Novak,F,19,FRA,CHN,2012,Summer,Beijing,Cycling,Judo -60kg,Silver
595,Anna Schmidt,F,19,USA,FRA,2000,Summer,Beijing,Rowing,Judo -60kg,Gold
596,Carlos Gomez,M,30,CAN,UKR,2020,Summer,London,Boxing,Marathon,Silver
597,Maria Ivanova,F,32,UKR,USA,2012,Summer,London,Cycling,100m freestyle,Silver
598,Carlos Gomez,F,19,GER,GER,2016,Summer,Beijing,Cycling,Lightweight Boxing,Silver
599,Tom Lee,M,24,USA,CAN,2008,Summer,Beijing,Boxing,100m freestyle,Bronze
600,Maria Ivanova,F,20,UKR,FRA,2008,Summer,Tokyo,Rowing,100m freestyle,Silver
601,Maria Ivanova,F,25,UKR,BRA,2000,Summer,Tokyo,Rowing,100m freestyle,Silver
602,Liu Wei,F,31,CAN,FRA,2008,Winter,Athens,Rowing,Judo -60kg,Gold
603,Maria Ivanova,F,39,CHN,FRA,2012,Winter,London,Rowing,Double Sculls,Bronze
604,John Doe,F,24,CHN,USA,2000,Summer,London,Swimming,Double Sculls,Bronze
605,Anna Schmidt,M,38,USA,BRA,2020,Summer,Beijing,Boxing,Judo -60kg,Silver
606,Anna Schmidt,F,24,CHN,UKR,2016,Summer,Beijing,Swimming,Lightweight Boxing,Bronze
607,Carlos Gomez,F,18,UKR,UKR,2000,Summer,Athens,Cycling,Lightweight Boxing,Bronze
608,Tom Lee,M,34,CHN,FRA,2020,Summer,London,Swimming,Lightweight Boxing,Silver
609,Maria Ivanova,M,26,BRA,USA,2000,Summer,Tokyo,Rowing,Double Sculls,Bronze
610,John Doe,M,38,CHN,BRA,2004,Winter,Rio,Cycling,Double Sculls,Bronze
611,Carlos Gomez,F,30,UKR,UKR,2004,Winter,Athens,Swimming,100m freestyle,Bronze
612,Liu Wei,M,38,CAN,GER,2000,Summer,Rio,Swimming,Judo -60kg,Silver
613,Carlos Gomez,F,36,USA,CHN,2008,Summer,Tokyo,Boxing,Marathon,Gold
614,Carlos Gomez,F,38,GER,CHN,2004,Summer,Tokyo,Swimming,100m freestyle,Gold
615,Maria Ivanova,M,36,CHN,UKR,2016,Summer,Rio,Cycling,Sprint,Bronze
616,Liu Wei,M,39,FRA,BRA,2020,Summer,Athens,Rowing,Double Sculls,
617,Carlos Gomez,F,34,FRA,CAN,2012,Summer,Rio,Boxing,100m freestyle,Silver
618,John Doe,M,27,UKR,UKR,2004,Winter,Athens,Swimming,Judo -60kg,Gold
619,John Doe,F,27,GER,CAN,2000,Summer,Athens,Boxing,Sprint,
620,Anna Schmidt,M,21,GER,CAN,2008,Summer,Beijing,Judo,100m freestyle,
621,Liu Wei,M,25,BRA,BRA,2012,Summer,London,Boxing,Judo -60kg,
622,Liu Wei,M,39,GER,CAN,2020,Summer,London,Rowing,Judo -60kg,Bronze
623,Anna Schmidt,F,37,FRA,GER,2020,Summer,Tokyo,Judo,Double Sculls,
624,Carlos Gomez,M,37,CAN,BRA,2004,Winter,Beijing,Judo,Marathon,Gold
625,Liu Wei,F,35,UKR,UKR,2020,Summer,London,Boxing,100m freestyle,Gold
626,John Doe,F,31,UKR,FRA,2020,Summer,Athens,Cycling,Judo -60kg,Gold
627,John Doe,F,35,CHN,GER,2008,Summer,Athens,Rowing,Lightweight Boxing,Bronze
628,Maria Ivanova,F,31,CHN,USA,2008,Summer,Rio,Cycling,Judo -60kg,Gold
629,Liu Wei,M,37,CHN,CHN,2008,Winter,Rio,Rowing,Marathon,Silver
630,Carlos Gomez,F,38,FRA,UKR,2000,Summer,Athens,Rowing,Judo -60kg,Silver
631,Anna Schmidt,F,32,FRA,UKR,2020,Winter,Athens,Cycling,Double Sculls,Silver
632,Anna Schmidt,M,39,FRA,UKR,2020,Summer,Rio,Athletics,100m freestyle,
633,Carlos Gomez,F,21,FRA,GER,2020,Summer,London,Judo,Double Sculls,Gold
634,Tom Lee,M,30,FRA,USA,2016,Summer,Tokyo,Boxing,100m freestyle,Silver
635,Kate Novak,F,25,FRA,FRA,2008,Summer,Rio,Cycling,Sprint,
636,Maria Ivanova,M,35,CAN,BRA,2012,Summer,London,Cycling,100m freestyle,Gold
637,Anna Schmidt,F,29,FRA,USA,2004,Summer,London,Boxing,Sprint,Bronze
638,Liu Wei,M,31,GER,GER,2012,Summer,London,Judo,Double Sculls,
639,Maria Ivanova,F,19,GER,UKR,2000,Summer,Beijing,Boxing,Lightweight Boxing,
640,Liu Wei,F,35,BRA,CHN,2000,Summer,Beijing,Rowing,Marathon,
641,Tom Lee,M,19,CAN,UKR,2020,Summer,London,Athletics,Lightweight Boxing,Silver
642,John Doe,M,28,CHN,BRA,2012,Summer,Athens,Rowing,Sprint,Bronze
643,Maria Ivanova,M,26,USA,CAN,2020,Summer,Beijing,Athletics,Judo -60kg,Gold
644,Anna Schmidt,M,29,FRA,CHN,2016,Summer,Rio,Boxing,Judo -60kg,Silver
645,Maria Ivanova,F,34,BRA,UKR,2000,Summer,Beijing,Rowing,Lightweight Boxing,Gold
646,Maria Ivanova,F,32,USA,FRA,2000,Summer,Athens,Judo,Judo -60kg,Silver
647,Maria Ivanova,M,34,GER,CHN,2012,Summer,Tokyo,Rowing,Sprint,
648,Kate Novak,F,35,BRA,CAN,2000,Summer,Beijing,Cycling,Double Sculls,Silver
649,Maria Ivanova,M,39,BRA,USA,2016,Summer,London,Athletics,Marathon,Bronze
650,Liu Wei,M,23,UKR,GER,2016,Winter,London,Athletics,100m freestyle,Silver
651,John Doe,F,34,GER,UKR,2016,Summer,London,Judo,Sprint,Silver
652,Tom Lee,F,35,GER,BRA,2004,Summer,Tokyo,Athletics,Sprint,
653,Carlos Gomez,F,25,CAN,USA,2016,Summer,Athens,Athletics,100m freestyle,Silver
654,Maria Ivanova,F,26,BRA,UKR,2016,Summer,Rio,Judo,100m freestyle,Bronze
655,Anna Schmidt,F,23,FRA,USA,2004,Winter,Athens,Rowing,Marathon,Silver
656,Maria Ivanova,F,22,GER,BRA,2020,Summer,Tokyo,Boxing,Marathon,Gold
657,Anna Schmidt,F,29,BRA,UKR,2008,Winter,London,Rowing,Marathon,Silver
658,Liu Wei,M,28,CAN,CAN,2000,Winter,Athens,Cycling,Judo -60kg,
659,Anna Schmidt,M,18,FRA,CAN,2016,Summer,Rio,Cycling,Sprint,Gold
660,Carlos Gomez,M,28,CAN,BRA,2000,Summer,London,Athletics,Double Sculls,Gold
661,John Doe,M,36,UKR,CHN,2012,Summer,Rio,Cycling,100m freestyle,Gold
662,Anna Schmidt,M,26,FRA,BRA,2000,Summer,Beijing,Boxing,Sprint,
663,Anna Schmidt,F,19,BRA,CHN,2020,Summer,Rio,Athletics,Sprint,Bronze
664,John Doe,M,29,GER,UKR,2004,Summer,London,Cycling,Marathon,Bronze
665,Carlos Gomez,M,21,GER,CHN,2000,Summer,Beijing,Swimming,Marathon,Silver
666,Maria Ivanova,M,21,BRA,UKR,2000,Summer,London,Swimming,Sprint,
667,Anna Schmidt,M,35,BRA,UKR,2000,Summer,London,Swimming,Marathon,
668,John Doe,M,32,BRA,FRA,2008,Winter,Beijing,Swimming,Judo -60kg,
669,Liu Wei,M,36,CHN,GER,2008,Summer,Rio,Rowing,100m freestyle,
670,John Doe,M,30,FRA,UKR,2012,Winter,Tokyo,Swimming,Sprint,Bronze
671,Liu Wei,F,36,GER,CHN,2004,Summer,Tokyo,Athletics,100m freestyle,Silver
672,Carlos Gomez,F,34,FRA,GER,2000,Summer,Tokyo,Judo,Judo -60kg,
673,Maria Ivanova,M,23,CAN,GER,2000,Summer,Tokyo,Rowing,Marathon,
674,John Doe,F,33,GER,UKR,2000,Summer,Athens,Judo,Lightweight Boxing,Gold
675,Tom Lee,F,29,CHN,BRA,2000,Summer,Tokyo,Athletics,Judo -60kg,Gold
676,Tom Lee,F,36,BRA,BRA,2008,Summer,Beijing,Athletics,Lightweight Boxing,
677,Kate Novak,F,22,UKR,CAN,2020,Winter,Tokyo,Boxing,100m freestyle,Silver
678,Anna Schmidt,M,34,BRA,GER,2020,Summer,London,Rowing,Sprint,
679,Carlos Gomez,F,18,BRA,UKR,2012,Summer,Tokyo,Judo,Marathon,Silver
680,John Doe,F,27,CHN,FRA,2016,Winter,Rio,Swimming,Judo -60kg,Gold
681,Tom Lee,F,32,FRA,BRA,2004,Summer,Beijing,Athletics,Marathon,Gold
682,Anna Schmidt,M,38,GER,FRA,2020,Summer,Beijing,Swimming,Lightweight Boxing,Gold
683,Tom Lee,M,38,BRA,UKR,2000,Summer,Athens,Judo,Lightweight Boxing,Gold
684,John Doe,M,28,GER,UKR,2020,Winter,London,Rowing,Double Sculls,Silver
685,Liu Wei,M,30,USA,GER,2012,Summer,Beijing,Cycling,Sprint,Bronze
686,John Doe,M,22,CAN,FRA,2016,Summer,Rio,Cycling,Lightweight Boxing,
687,Kate Novak,M,18,FRA,CAN,2020,Summer,Tokyo,Athletics,Sprint,Silver
688,John Doe,M,29,GER,GER,2012,Winter,Beijing,Boxing,Double Sculls,Bronze
689,John Doe,F,28,UKR,USA,2008,Summer,Rio,Swimming,Judo -60kg,Bronze
690,Kate Novak,F,34,CAN,FRA,2016,Winter,Tokyo,Athletics,Double Sculls,Bronze
691,Carlos Gomez,F,21,UKR,BRA,2012,Summer,Athens,Boxing,Sprint,Bronze
692,John Doe,M,32,BRA,BRA,2020,Summer,Beijing,Swimming,Lightweight Boxing,Gold
693,Kate Novak,M,26,CAN,BRA,2008,Summer,Beijing,Judo,100m freestyle,Gold
694,Anna Schmidt,M,38,GER,CHN,2012,Summer,Rio,Cycling,Sprint,Gold
695,Liu Wei,M,37,CAN,UKR,2012,Winter,London,Boxing,Marathon,Gold
696,Liu Wei,M,36,BRA,GER,2020,Summer,Athens,Swimming,100m freestyle,Bronze
697,John Doe,F,36,CHN,BRA,2016,Summer,London,Athletics,Sprint,Gold
698,Carlos Gomez,F,29,FRA,USA,2008,Summer,Beijing,Swimming,Marathon,
699,Carlos Gomez,M,22,UKR,BRA,2000,Summer,London,Athletics,Double Sculls,
700,Anna Schmidt,M,27,BRA,CAN,2004,Summer,Tokyo,Cycling,100m freestyle,
701,John Doe,M,34,CHN,UKR,2016,Summer,Athens,Cycling,Sprint,
702,Liu Wei,M,22,CAN,FRA,2008,Summer,London,Swimming,Judo -60kg,Silver
703,Carlos Gomez,F,39,CAN,UKR,2012,Summer,Tokyo,Swimming,Double Sculls,Bronze
704,John Doe,M,33,BRA,FRA,2008,Summer,Rio,Athletics,Marathon,Gold
705,Tom Lee,M,24,GER,FRA,2004,Summer,London,Athletics,Judo -60kg,
706,Carlos Gomez,M,26,CAN,GER,2020,Summer,Athens,Boxing,Lightweight Boxing,
707,Kate Novak,M,20,GER,CHN,2004,Summer,Tokyo,Boxing,Double Sculls,
708,Tom Lee,F,32,GER,FRA,2000,Summer,London,Boxing,Double Sculls,Silver
709,Carlos Gomez,M,33,FRA,FRA,2000,Winter,Rio,Swimming,Sprint,
710,Liu Wei,M,35,GER,GER,2004,Summer,London,Rowing,Sprint,Gold
711,Maria Ivanova,F,31,USA,BRA,2016,Winter,Tokyo,Rowing,Marathon,Gold
712,Tom Lee,F,20,FRA,CAN,2016,Winter,London,Rowing,Double Sculls,
713,Anna Schmidt,F,29,CHN,USA,2012,Summer,Athens,Rowing,Sprint,Silver
714,Anna Schmidt,M,26,CHN,GER,2000,Summer,Beijing,Boxing,Lightweight Boxing,
715,Liu Wei,M,24,CAN,CHN,2012,Winter,Tokyo,Swimming,Sprint,Gold
716,Carlos Gomez,F,26,CAN,GER,2000,Summer,Tokyo,Rowing,Double Sculls,
717,John Doe,F,30,GER,UKR,2004,Summer,Tokyo,Cycling,100m freestyle,Silver
718,Carlos Gomez,F,35,FRA,BRA,2016,Summer,Tokyo,Judo,Judo -60kg,
719,Liu Wei,F,22,FRA,BRA,2016,Summer,London,Cycling,Double Sculls,
720,Anna Schmidt,F,30,USA,FRA,2004,Summer,Athens,Swimming,Lightweight Boxing,
721,Carlos Gomez,F,21,GER,BRA,2012,Summer,Rio,Swimming,Double Sculls,Silver
722,Anna Schmidt,M,19,USA,BRA,2012,Summer,Athens,Judo,Lightweight Boxing,
723,Tom Lee,M,33,GER,BRA,2008,Summer,Tokyo,Athletics,Double Sculls,Gold
724,John Doe,M,26,UKR,BRA,2000,Summer,London,Athletics,Judo -60kg,Gold
725,Tom Lee,F,26,UKR,USA,2012,Summer,London,Athletics,Judo -60kg,Silver
726,Anna Schmidt,F,23,BRA,CHN,2004,Summer,Tokyo,Boxing,Lightweight Boxing,
727,Anna Schmidt,F,28,GER,FRA,2012,Winter,London,Athletics,Double Sculls,Silver
728,Maria Ivanova,F,39,FRA,BRA,2016,Summer,Tokyo,Boxing,Judo -60kg,
729,Maria Ivanova,F,39,CAN,FRA,2000,Summer,Athens,Boxing,Marathon,Bronze
730,Tom Lee,F,18,CHN,CHN,2020,Summer,Beijing,Athletics,Double Sculls,Gold
731,Kate Novak,M,21,BRA,CAN,2008,Summer,London,Athletics,Judo -60kg,
732,Tom Lee,M,30,CAN,BRA,2000,Summer,Tokyo,Judo,100m freestyle,Gold
733,Maria Ivanova,F,30,UKR,FRA,2016,Winter,Tokyo,Rowing,100m freestyle,
734,Anna Schmidt,M,30,GER,GER,2016,Summer,London,Judo,Marathon,Silver
735,Liu Wei,F,19,BRA,FRA,2016,Winter,Rio,Boxing,Judo -60kg,Bronze
736,Tom Lee,M,26,GER,BRA,2016,Summer,Tokyo,Judo,100m freestyle,Silver
737,Anna Schmidt,F,25,UKR,UKR,2004,Summer,London,Boxing,Double Sculls,Gold
738,Liu Wei,F,24,BRA,USA,2008,Summer,Tokyo,Swimming,Sprint,Silver
739,Liu Wei,M,21,UKR,GER,2020,Winter,Rio,Boxing,Judo -60kg,Gold
740,Maria Ivanova,M,35,USA,GER,2016,Summer,Beijing,Boxing,Marathon,Gold
741,Tom Lee,F,20,UKR,UKR,2016,Summer,Rio,Judo,Judo -60kg,Gold
742,Carlos Gomez,F,23,FRA,BRA,2012,Winter,Athens,Rowing,Lightweight Boxing,Silver
743,John Doe,M,29,FRA,USA,2008,Summer,London,Swimming,Lightweight Boxing,
744,Maria Ivanova,M,29,GER,GER,2000,Summer,Rio,Cycling,100m freestyle,Bronze
745,Maria Ivanova,F,38,CHN,USA,2008,Winter,Beijing,Cycling,Lightweight Boxing,
746,Carlos Gomez,M,25,UKR,GER,2008,Summer,Tokyo,Rowing,Marathon,Bronze
747,John Doe,F,39,CAN,BRA,2020,Summer,London,Cycling,100m freestyle,Bronze
748,Anna Schmidt,F,39,FRA,CAN,2008,Summer,Rio,Swimming,Marathon,Bronze
749,Kate Novak,F,18,CHN,GER,2020,Summer,Beijing,Athletics,Double Sculls,Silver
750,Tom Lee,F,21,USA,CAN,2016,Summer,Rio,Swimming,Marathon,Bronze
751,Kate Novak,M,38,BRA,GER,2016,Summer,Athens,Judo,Lightweight Boxing,Gold
752,Anna Schmidt,M,28,BRA,CHN,2004,Summer,London,Boxing,Double Sculls,
753,Maria Ivanova,M,20,FRA,BRA,2020,Summer,Tokyo,Boxing,Lightweight Boxing,
754,John Doe,M,30,CHN,UKR,2020,Winter,Beijing,Judo,Marathon,Gold
755,Maria Ivanova,M,34,FRA,CAN,2000,Winter,Rio,Judo,Lightweight Boxing,
756,Liu Wei,M,39,BRA,UKR,2012,Summer,London,Boxing,Lightweight Boxing,Gold
757,Maria Ivanova,M,39,UKR,BRA,2008,Summer,Rio,Rowing,Lightweight Boxing,Gold
758,Maria Ivanova,F,27,CHN,FRA,2000,Winter,London,Athletics,Judo -60kg,Gold
759,Anna Schmidt,M,38,GER,UKR,2020,Summer,Athens,Athletics,Double Sculls,
760,Anna Schmidt,M,29,UKR,BRA,2000,Summer,Rio,Athletics,Double Sculls,
761,Anna Schmidt,F,32,UKR,UKR,2004,Winter,Athens,Judo,Double Sculls,
762,Kate Novak,M,38,UKR,CAN,2012,Summer,Beijing,Boxing,Marathon,Gold
763,Liu Wei,M,27,GER,CHN,2020,Summer,Athens,Rowing,Sprint,Bronze
764,Anna Schmidt,F,31,USA,UKR,2020,Summer,London,Boxing,Marathon,Bronze
765,John Doe,M,30,CAN,CAN,2008,Summer,Beijing,Boxing,Double Sculls,Gold
766,Kate Novak,M,22,FRA,GER,2012,Summer,Rio,Rowing,100m freestyle,Bronze
767,Carlos Gomez,M,23,BRA,BRA,2004,Summer,Rio,Swimming,Lightweight Boxing,Gold
768,John Doe,F,19,FRA,USA,2016,Summer,London,Rowing,Lightweight Boxing,Gold
769,Tom Lee,M,39,CHN,FRA,2000,Summer,Tokyo,Swimming,Sprint,Silver
770,Tom Lee,M,34,USA,USA,2008,Summer,Tokyo,Cycling,100m freestyle,Bronze
771,John Doe,F,21,CHN,BRA,2020,Summer,Rio,Swimming,Judo -60kg,Gold
772,Anna Schmidt,M,31,FRA,CHN,2016,Summer,London,Athletics,Marathon,Gold
773,Carlos Gomez,F,27,BRA,UKR,2004,Summer,Tokyo,Athletics,Judo -60kg,Gold
774,Carlos Gomez,F,20,GER,CHN,2012,Winter,Athens,Rowing,100m freestyle,Gold
775,Kate Novak,M,20,FRA,USA,2000,Summer,Rio,Athletics,Sprint,Gold
776,Carlos Gomez,F,32,UKR,FRA,2008,Summer,Athens,Athletics,100m freestyle,Silver
777,Tom Lee,F,23,FRA,CAN,2020,Summer,London,Cycling,Sprint,Bronze
778,Liu Wei,M,34,UKR,FRA,2020,Summer,Athens,Athletics,Judo -60kg,Silver
779,Anna Schmidt,F,29,GER,BRA,2016,Summer,Tokyo,Judo,Judo -60kg,
780,Carlos Gomez,F,39,FRA,BRA,2016,Summer,Tokyo,Judo,100m freestyle,Bronze
781,Kate Novak,M,37,USA,CHN,2000,Summer,Beijing,Judo,100m freestyle,Gold
782,Tom Lee,M,28,USA,CAN,2012,Summer,Rio,Swimming,Lightweight Boxing,Gold
783,Liu Wei,M,21,CHN,CHN,2004,Winter,London,Rowing,Sprint,
784,Maria Ivanova,F,23,GER,UKR,2012,Summer,Rio,Rowing,Lightweight Boxing,Gold
785,Maria Ivanova,M,18,USA,GER,2012,Summer,Athens,Boxing,Marathon,Gold
786,Liu Wei,F,37,FRA,CAN,2012,Summer,London,Cycling,Marathon,Gold
787,Tom Lee,F,33,GER,GER,2000,Summer,London,Judo,100m freestyle,Bronze
788,Kate Novak,F,32,BRA,FRA,2000,Winter,Tokyo,Judo,Judo -60kg,Bronze
789,Liu Wei,F,34,UKR,UKR,2004,Summer,Athens,Athletics,Marathon,
790,Anna Schmidt,F,25,FRA,GER,2012,Summer,Tokyo,Judo,Marathon,
791,Anna Schmidt,F,29,UKR,USA,2000,Summer,Tokyo,Athletics,Lightweight Boxing,Silver
792,Maria Ivanova,F,39,UKR,FRA,2004,Summer,Beijing,Athletics,Lightweight Boxing,Silver
793,Carlos Gomez,M,38,GER,GER,2020,Summer,Tokyo,Boxing,Marathon,Silver
794,Kate Novak,M,27,GER,UKR,2004,Summer,Rio,Swimming,100m freestyle,Gold
795,Maria Ivanova,F,32,CHN,GER,2012,Winter,London,Athletics,Lightweight Boxing,Gold
796,Carlos Gomez,F,26,UKR,BRA,2008,Summer,Tokyo,Athletics,Marathon,Gold
797,Carlos Gomez,M,19,CHN,CHN,2012,Summer,Rio,Rowing,Judo -60kg,Gold
798,Anna Schmidt,F,22,UKR,USA,2008,Summer,Athens,Boxing,Lightweight Boxing,Gold
799,Tom Lee,M,23,CHN,BRA,2004,Summer,London,Athletics,Marathon,Silver
800,John Doe,M,24,CHN,BRA,2020,Summer,Athens,Cycling,Sprint,
801,Tom Lee,M,38,BRA,UKR,2020,Summer,Rio,Swimming,Lightweight Boxing,Bronze
802,John Doe,F,18,CHN,CHN,2000,Summer,Athens,Cycling,Sprint,
803,Liu Wei,F,24,GER,CHN,2020,Summer,Athens,Judo,Lightweight Boxing,Silver
804,Anna Schmidt,M,37,CHN,CAN,2016,Winter,Athens,Swimming,Lightweight Boxing,Silver
805,Carlos Gomez,M,29,UKR,FRA,2004,Summer,Tokyo,Judo,Double Sculls,Silver
806,Kate Novak,M,33,CHN,USA,2000,Winter,Tokyo,Rowing,Double Sculls,Gold
807,John Doe,M,33,USA,FRA,2020,Winter,Tokyo,Athletics,Sprint,Gold
808,Tom Lee,M,28,CAN,UKR,2004,Summer,London,Boxing,100m freestyle,
809,Carlos Gomez,F,38,UKR,USA,2012,Summer,Rio,Cycling,Marathon,
810,John Doe,M,21,USA,CAN,2020,Summer,Tokyo,Judo,100m freestyle,Gold
811,John Doe,F,30,UKR,GER,2008,Winter,Athens,Athletics,100m freestyle,Gold
812,John Doe,M,24,GER,BRA,2004,Summer,Athens,Cycling,Double Sculls,Silver
813,Kate Novak,F,21,CAN,USA,2000,Summer,Athens,Cycling,Marathon,Gold
814,Anna Schmidt,F,32,CAN,FRA,2012,Winter,Athens,Rowing,Double Sculls,Silver
815,Kate Novak,F,36,GER,BRA,2016,Summer,Beijing,Rowing,Double Sculls,Gold
816,Maria Ivanova,F,26,CAN,UKR,2012,Summer,London,Judo,Double Sculls,Silver
817,Carlos Gomez,F,28,GER,FRA,2020,Summer,Rio,Athletics,Judo -60kg,Silver
818,Anna Schmidt,F,25,USA,GER,2008,Summer,Rio,Boxing,100m freestyle,Silver
819,Anna Schmidt,M,18,BRA,UKR,2012,Summer,Tokyo,Judo,100m freestyle,Gold
820,Anna Schmidt,F,25,UKR,GER,2016,Summer,Beijing,Cycling,100m freestyle,Silver
821,Tom Lee,M,30,GER,GER,2000,Summer,Rio,Cycling,Judo -60kg,
822,Anna Schmidt,F,39,UKR,BRA,2004,Winter,London,Swimming,Lightweight Boxing,Silver
823,Kate Novak,F,21,USA,UKR,2008,Summer,Athens,Athletics,Sprint,
824,Anna Schmidt,M,25,BRA,UKR,2016,Winter,Tokyo,Swimming,Sprint,
825,Liu Wei,F,20,USA,USA,2020,Winter,London,Rowing,Judo -60kg,
826,Carlos Gomez,M,26,CAN,FRA,2020,Summer,Rio,Boxing,100m freestyle,
827,Anna Schmidt,M,19,UKR,UKR,2020,Summer,Beijing,Judo,Sprint,Bronze
828,Carlos Gomez,M,19,FRA,USA,2008,Summer,Tokyo,Cycling,Judo -60kg,
829,Liu Wei,M,30,BRA,CHN,2012,Summer,Rio,Athletics,Double Sculls,Gold
830,Liu Wei,F,32,CAN,CHN,2008,Summer,Tokyo,Cycling,Marathon,Silver
831,Carlos Gomez,F,29,BRA,CHN,2020,Summer,Rio,Rowing,Sprint,
832,John Doe,M,21,CAN,CAN,2016,Summer,Athens,Swimming,Marathon,
833,Maria Ivanova,F,25,USA,UKR,2004,Winter,Beijing,Swimming,100m freestyle,
834,Tom Lee,F,26,GER,CAN,2004,Summer,Athens,Judo,Sprint,
835,John Doe,M,22,UKR,FRA,2008,Summer,Rio,Athletics,Judo -60kg,
836,John Doe,F,37,CHN,UKR,2020,Summer,London,Rowing,Lightweight Boxing,Bronze
837,Kate Novak,M,35,CHN,USA,2000,Winter,Athens,Athletics,Sprint,
838,Tom Lee,M,28,USA,CAN,2008,Summer,London,Judo,Sprint,Bronze
839,Tom Lee,F,32,UKR,CAN,2020,Winter,Rio,Rowing,Sprint,
840,John Doe,F,39,UKR,FRA,2012,Summer,Beijing,Rowing,Sprint,
841,Anna Schmidt,F,26,USA,CAN,2004,Summer,London,Swimming,Judo -60kg,
842,Kate Novak,M,34,UKR,GER,2004,Summer,Rio,Swimming,Judo -60kg,Bronze
843,Kate Novak,M,29,GER,USA,2004,Summer,London,Swimming,Lightweight Boxing,Silver
844,Liu Wei,F,24,USA,CHN,2000,Summer,Athens,Cycling,Judo -60kg,Gold
845,Tom Lee,F,27,GER,USA,2020,Summer,Rio,Boxing,Judo -60kg,
846,John Doe,F,27,UKR,GER,2020,Summer,Athens,Swimming,100m freestyle,Bronze
847,Liu Wei,F,30,USA,FRA,2020,Winter,Tokyo,Boxing,100m freestyle,Silver
848,Carlos Gomez,M,36,UKR,FRA,2020,Summer,Rio,Boxing,Marathon,Gold
849,Maria Ivanova,F,28,USA,UKR,2000,Winter,London,Athletics,Lightweight Boxing,
850,Kate Novak,M,30,UKR,USA,2016,Summer,Tokyo,Judo,100m freestyle,
851,Carlos Gomez,M,38,GER,FRA,2008,Summer,Athens,Cycling,Lightweight Boxing,
852,Carlos Gomez,F,25,FRA,CAN,2008,Summer,Athens,Boxing,Lightweight Boxing,Bronze
853,Anna Schmidt,F,25,GER,FRA,2020,Summer,London,Cycling,Sprint,Silver
854,Maria Ivanova,F,21,UKR,FRA,2012,Summer,Tokyo,Athletics,Double Sculls,Silver
855,Carlos Gomez,M,32,USA,FRA,2004,Summer,Beijing,Swimming,Double Sculls,Gold
856,Carlos Gomez,F,28,CHN,FRA,2000,Summer,London,Rowing,Double Sculls,
857,Maria Ivanova,F,28,GER,CHN,2012,Summer,Athens,Boxing,Lightweight Boxing,Gold
858,Maria Ivanova,M,18,GER,CHN,2012,Summer,Rio,Judo,Sprint,Bronze
859,Carlos Gomez,F,34,CAN,UKR,2020,Winter,Tokyo,Rowing,Marathon,Bronze
860,Maria Ivanova,M,32,CHN,FRA,2000,Summer,Beijing,Athletics,Marathon,Bronze
861,Carlos Gomez,F,37,UKR,USA,2008,Summer,Rio,Cycling,Double Sculls,
862,Carlos Gomez,M,23,FRA,GER,2004,Summer,Tokyo,Swimming,Marathon,Gold
863,Anna Schmidt,F,39,USA,UKR,2008,Summer,London,Cycling,Sprint,
864,John Doe,F,32,CAN,USA,2012,Summer,London,Judo,Double Sculls,Gold
865,Carlos Gomez,M,26,UKR,FRA,2004,Summer,Tokyo,Boxing,Sprint,Gold
866,Liu Wei,M,31,BRA,BRA,2016,Summer,Beijing,Judo,Marathon,Silver
867,Kate Novak,F,35,FRA,FRA,2012,Summer,Tokyo,Cycling,Double Sculls,Gold
868,Tom Lee,M,34,GER,CHN,2008,Summer,Rio,Cycling,Sprint,
869,John Doe,M,35,BRA,GER,2008,Summer,Rio,Rowing,Judo -60kg,Bronze
870,John Doe,M,22,GER,CAN,2020,Summer,London,Judo,Judo -60kg,Gold
871,John Doe,M,37,GER,GER,2008,Winter,Tokyo,Judo,Sprint,Gold
872,Anna Schmidt,F,37,BRA,CAN,2000,Summer,London,Judo,Sprint,Bronze
873,Carlos Gomez,F,26,FRA,GER,2012,Summer,Beijing,Swimming,100m freestyle,
874,Anna Schmidt,M,28,BRA,CHN,2004,Winter,Rio,Cycling,100m freestyle,Silver
875,Carlos Gomez,M,39,UKR,CAN,2008,Winter,Athens,Athletics,Lightweight Boxing,Bronze
876,Anna Schmidt,M,18,CAN,USA,2020,Summer,Athens,Swimming,Double Sculls,
877,Anna Schmidt,M,35,CAN,CAN,2020,Summer,Tokyo,Swimming,Lightweight Boxing,Bronze
878,Kate Novak,F,23,BRA,UKR,2008,Winter,Tokyo,Swimming,Lightweight Boxing,Gold
879,Liu Wei,F,19,UKR,USA,2000,Summer,Athens,Rowing,Marathon,Bronze
880,Anna Schmidt,M,32,CAN,UKR,2020,Winter,Tokyo,Athletics,Judo -60kg,Bronze
881,Kate Novak,M,38,UKR,FRA,2004,Summer,Rio,Judo,Marathon,Bronze
882,Maria Ivanova,M,31,UKR,GER,2012,Summer,Beijing,Rowing,Double Sculls,Bronze
883,Liu Wei,F,22,GER,USA,2016,Summer,Beijing,Cycling,Sprint,
